b, b@b.b, 000000000
dddd, d@d.d, 111111111
q, q@q.q, 222222222
q, q@q.q, 222222222
b, b@b.b, 2222
z, z@z.z, 3333333333333333333333
z, z@z.z, 3333333333333333333333
z, z@z.z, 3333333333333333333333
z, z@z.z, 3333333333333333333333
z, z@z.z, 3333333333333333333333
z, z@z.z, 3333333333333333333333
teste, t@t.com, 11111111111111
teste, t@t.com, 11111111111111
teste, t@t.com, 11111111111111
t, r@r.r, 222222222222222222
t, r@r.r, 222222222222222222
t, r@r.r, 222222222222222222
nome, w@w.wnome, w@w.wnome1, n@n.nnome1,n@n.na@a.a,aa@a.a,aa@a.a,aa@a.a,a
